 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11)
21,1125.477,1037.943,1493.271,1573.586,1441.155,560.301,514.114,1321.702,1094.249,799.567,537.853
22,1311.403,1237.956,1460.898,1508.876,1418.409,537.293,544.902,1283.645,1034.059,817.331,542.689
23,1521.622,1523.733,1484.112,1574.778,1502.148,549.885,547.336,1377.711,1132.163,896.376,520.797
24,1647.160,1575.119,1457.267,1467.325,1460.521,523.902,529.099,1416.707,1073.670,854.359,507.358
25,1724.563,1739.864,1519.357,1535.822,1448.092,564.495,535.647,1470.698,1126.496,856.945,489.483
26,1753.785,1735.844,1446.387,1561.713,1479.939,556.296,528.532,1569.023,1117.409,840.844,504.992
27,1765.638,1695.026,1485.646,1527.389,1473.599,565.417,538.497,1482.138,1123.656,831.240,500.062
28,1700.283,1647.427,1441.595,1508.888,1428.420,486.122,526.816,1452.223,1097.798,837.696,502.785
29,1671.519,1647.094,1451.735,1527.825,1499.468,526.183,494.541,1476.569,1085.485,841.512,498.884
30,1643.488,1670.007,1446.415,1588.971,1517.882,530.535,530.082,1467.725,1105.738,816.523,495.699
31,1595.850,1644.512,1464.824,1626.975,1495.464,531.553,511.753,1447.835,1083.881,817.321,511.227
32,1575.365,1579.249,1452.332,1625.934,1456.819,530.021,532.436,1421.683,1141.302,803.469,511.894
33,1520.684,1550.887,1479.422,1569.263,1424.450,504.731,502.940,1413.447,1046.869,806.967,479.053
34,1585.998,1508.326,1507.702,1593.070,1420.783,492.951,490.696,1471.676,1086.531,839.030,520.623
35,1521.732,1528.216,1483.832,1607.692,1469.242,498.222,511.212,1412.459,1061.480,784.601,486.353
36,1569.599,1515.942,1507.722,1554.962,1508.272,497.348,511.858,1459.977,1077.123,800.702,495.419
37,1550.483,1497.120,1502.775,1554.971,1489.796,503.837,530.453,1387.311,1032.290,818.292,473.370
38,1510.686,1453.580,1390.373,1540.363,1447.680,486.831,505.264,1398.964,1077.587,800.117,499.747
39,1534.702,1464.125,1449.453,1521.477,1508.873,528.626,508.301,1382.032,1085.544,757.047,487.965
40,1464.621,1482.510,1467.513,1596.440,1444.478,483.687,488.397,1439.246,1052.472,813.613,492.787
41,1477.611,1486.410,1479.348,1563.081,1496.686,495.655,533.186,1329.892,1065.738,764.901,491.699
42,1483.077,1433.701,1457.050,1498.036,1486.454,543.803,496.472,1406.078,1103.078,842.854,476.475
43,1476.579,1442.246,1472.526,1605.494,1460.275,544.234,568.765,1420.328,1097.035,861.246,484.148
44,1475.663,1381.136,1452.834,1533.100,1445.937,508.213,513.542,1404.395,1058.133,761.120,487.839
45,1459.207,1343.247,1448.216,1522.219,1476.995,525.294,520.575,1423.116,1042.639,790.234,505.622
46,1385.382,1359.978,1471.862,1573.908,1457.164,519.786,513.631,1316.762,1042.046,820.724,464.936
47,1390.760,1323.760,1463.720,1523.635,1480.760,514.842,489.899,1363.275,983.071,800.272,484.603
48,1370.664,1305.919,1483.112,1533.090,1470.707,519.505,530.008,1380.412,1072.085,795.002,505.753
49,1389.148,1306.824,1481.224,1497.582,1464.208,548.770,528.588,1311.473,1022.141,800.923,517.332
50,1394.699,1322.714,1501.303,1518.896,1465.327,552.540,502.414,1423.670,1047.533,794.595,495.752
51,1377.520,1317.911,1529.405,1555.644,1462.468,495.280,513.661,1403.850,1064.389,780.072,465.638
52,1344.108,1250.219,1441.100,1510.922,1509.133,511.450,509.091,1356.120,1007.784,804.909,466.853
