 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11)
1,1053.380,939.857,1430.238,1612.600,1501.110,521.931,510.346,1252.711,1050.353,745.527,496.939
2,1058.175,997.781,1402.836,1550.898,1496.922,518.984,547.587,1235.283,1049.011,787.258,535.850
3,1065.908,1009.470,1442.691,1564.732,1502.219,521.270,530.063,1252.113,1053.889,757.085,514.636
4,1033.977,1020.220,1471.947,1531.729,1477.381,544.947,542.416,1272.174,1097.907,813.675,500.937
5,1032.672,989.876,1465.518,1539.158,1462.771,527.428,521.273,1214.831,1023.854,824.141,495.552
6,1048.942,979.152,1451.808,1622.328,1476.925,527.746,509.329,1242.263,1062.434,764.401,513.827
7,1064.707,979.715,1491.270,1540.028,1466.140,563.982,534.820,1253.831,1051.375,775.978,493.354
8,1051.558,974.935,1464.878,1579.505,1440.334,509.619,555.070,1208.689,1086.875,815.484,530.298
9,1077.490,1014.214,1444.039,1465.386,1430.016,475.581,502.208,1232.283,1064.206,816.413,509.141
10,1025.761,1041.265,1445.233,1507.198,1463.252,527.141,530.997,1246.364,1044.395,776.313,533.072
11,1083.813,978.493,1423.497,1460.356,1424.357,550.314,521.618,1253.227,1021.730,765.493,496.783
12,1054.531,1011.841,1461.219,1549.807,1430.379,526.767,503.285,1212.178,1069.685,794.846,473.243
13,1007.964,994.424,1422.740,1516.780,1381.652,550.630,516.358,1224.826,1036.975,758.678,484.840
14,1065.550,1003.998,1488.384,1463.574,1452.428,525.123,522.168,1237.996,1078.465,793.193,486.289
15,1082.449,1023.509,1475.845,1554.879,1399.348,580.341,551.514,1236.322,1074.513,824.896,507.884
16,1061.124,1057.984,1469.086,1471.335,1386.774,573.375,541.263,1255.116,1050.727,823.988,537.552
17,1101.261,1054.557,1483.836,1618.045,1441.813,560.012,525.180,1305.266,1059.342,827.753,526.712
18,1057.625,1025.288,1457.992,1548.811,1469.511,578.793,541.831,1196.540,1085.056,853.616,546.417
19,1105.172,1000.261,1488.174,1575.774,1399.738,554.351,538.588,1289.500,1039.915,778.337,546.196
20,1103.101,1011.291,1465.016,1527.162,1454.591,569.507,526.116,1189.092,1050.438,798.831,523.849
