 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11)
1,778.158,1221.882,1872.570,1970.970,2097.716,1699.180,1339.490,434.075,1689.873,1593.999,858.159
2,811.237,1129.404,1889.957,2084.185,2093.871,1749.890,1341.282,483.885,1713.415,1666.471,854.695
3,826.186,1237.851,1929.482,1984.171,2123.425,1722.961,1292.632,506.831,1681.765,1713.977,910.365
4,907.256,1308.025,1899.648,2198.018,2117.800,1591.021,1312.450,498.731,1651.468,1668.870,846.948
5,898.550,1310.698,1864.216,2025.156,2060.965,1633.608,1273.078,495.710,1679.545,1620.262,840.054
6,910.152,1350.188,1840.121,2124.134,2163.159,1637.966,1330.755,502.260,1736.385,1705.445,799.669
7,748.616,1153.464,1790.888,1983.504,2099.989,1736.919,1187.849,404.805,1718.062,1682.842,788.011
8,750.517,1095.477,1823.486,1996.215,2125.738,1728.311,1285.733,473.775,1720.201,1664.329,839.886
9,673.459,1081.099,1811.218,2042.360,2126.564,1737.506,1206.124,455.108,1743.801,1669.004,814.574
10,710.814,1049.140,1818.593,1993.132,2106.698,1724.049,1249.434,467.782,1698.519,1706.410,830.785
11,713.412,1031.713,1793.060,1929.787,2232.785,1671.150,1235.199,474.291,1709.447,1653.746,760.034
12,693.175,1056.296,1869.559,1960.795,1971.193,1742.052,1281.753,486.172,1718.469,1719.534,773.968
13,818.369,1092.173,1871.897,2031.876,2193.011,1703.762,1325.230,506.878,1693.764,1661.037,724.458
14,785.373,1186.630,1883.085,2031.341,2121.019,1705.534,1301.250,457.325,1749.311,1666.992,751.802
15,792.177,1155.143,1913.475,2050.075,2126.384,1715.266,1243.662,502.367,1691.191,1723.825,816.009
16,674.709,983.063,1780.633,1926.927,2072.148,1775.326,1293.927,404.176,1718.547,1698.530,867.295
17,625.720,918.609,1783.061,1959.045,2117.420,1731.306,1285.749,418.412,1769.345,1660.150,899.355
18,749.705,1123.459,1907.570,1984.738,2151.903,1786.093,1247.624,442.705,1754.410,1696.093,810.256
19,766.361,1161.113,1910.228,2005.520,2164.561,1664.416,1253.173,420.447,1699.854,1718.031,821.830
20,798.436,1259.069,1950.032,2091.376,2148.593,1719.776,1320.915,467.138,1701.053,1720.475,813.338
21,784.872,1177.003,1915.952,2129.671,2145.320,1721.776,1308.876,516.491,1872.751,1884.955,822.396
22,821.406,1210.130,2023.304,2020.295,2205.630,1862.012,1343.458,547.041,1981.739,1970.224,838.202
23,819.806,1226.645,1980.268,2111.350,2308.042,1860.723,1372.319,505.346,1978.164,2007.135,872.751
24,850.723,1332.640,2068.798,2229.337,2311.593,1878.948,1367.662,559.980,2087.926,2054.753,881.641
25,1017.389,1455.348,2155.312,2273.856,2385.016,1770.634,1347.633,586.796,2122.991,2067.695,827.907
26,901.317,1439.495,2103.367,2158.776,2425.312,1851.160,1266.986,490.729,2039.627,2028.833,960.301
27,916.103,1390.485,2063.486,2157.045,2380.844,1792.650,1320.643,505.969,2102.849,2025.933,850.286
28,906.681,1408.847,2102.634,2166.224,2367.191,1833.934,1303.876,513.579,2025.897,2050.402,941.563
29,974.980,1424.307,2034.387,2167.904,2336.413,1735.931,1311.228,566.498,2088.624,1991.952,831.843
30,726.927,1215.440,1813.458,2076.169,2237.284,1843.741,1308.718,438.595,2040.634,1984.708,1011.260
31,818.231,1323.198,1967.045,2140.199,2340.561,1811.831,1303.198,472.757,2068.027,1929.149,874.316
32,800.198,1408.573,2077.020,2057.927,2335.665,1774.761,1311.101,469.091,2002.798,2017.003,917.282
33,920.906,1439.155,2056.008,2071.831,2361.967,1791.724,1283.130,548.314,2062.868,2001.347,811.381
34,884.144,1484.083,2056.774,2096.248,2319.814,1793.110,1275.726,533.740,2013.961,1932.280,836.056
35,849.453,1384.661,2008.940,2160.577,2333.426,1755.406,1304.551,507.446,1980.377,1961.504,782.714
36,834.205,1439.800,1973.494,2158.841,2341.080,1797.333,1287.821,534.814,1995.953,1939.258,835.486
37,898.517,1357.858,2008.749,2073.659,2315.846,1729.416,1290.250,524.570,1961.702,1972.728,841.628
38,885.561,1447.507,2025.514,2109.344,2321.426,1752.961,1249.673,518.210,1968.378,2013.332,781.196
39,919.556,1401.806,2095.262,2118.067,2295.007,1785.897,1331.611,497.907,1995.248,1963.395,791.557
40,906.269,1462.752,2075.955,2056.931,2344.384,1796.527,1405.280,512.018,1965.832,1961.975,862.578
41,951.133,1381.544,2048.929,2116.870,2264.497,1735.179,1330.739,482.035,1986.064,1884.057,841.768
42,853.141,1412.849,2053.039,2241.360,2283.580,1741.894,1313.460,528.892,1946.501,1841.173,768.720
43,823.362,1357.068,2032.350,2251.425,2257.916,1756.945,1255.422,511.385,1969.659,1861.115,839.348
44,847.552,1385.574,2039.654,2245.805,2240.496,1778.249,1274.358,478.052,1939.827,1923.029,782.695
45,830.000,1367.278,2022.813,2257.402,2284.010,1719.194,1270.481,502.433,1940.488,1906.440,781.826
46,968.552,1593.972,2043.288,2242.663,2248.265,1632.766,1266.355,485.689,1929.303,1907.503,816.634
47,819.436,1505.402,1956.653,2293.427,2234.035,1710.713,1303.835,441.093,1959.578,1909.608,767.178
48,860.109,1432.230,2003.983,2182.974,2279.201,1693.855,1221.721,497.136,1959.606,1984.223,792.836
49,924.747,1460.286,2051.458,2084.077,2267.449,1685.110,1307.839,560.546,1944.299,1901.798,760.052
50,874.486,1405.500,2016.644,2115.150,2277.441,1671.430,1282.786,503.937,1880.372,1877.667,850.077
51,878.517,1420.515,2046.489,2091.931,2296.262,1633.420,1350.883,502.940,1915.266,1908.443,902.127
52,835.019,1333.564,1956.797,2161.272,2260.475,1737.481,1346.103,483.273,1891.192,1834.581,942.828
