Molecule Name,SMILES,Collections,A. stephenis hand-to-cage repellent testing: Experiment number,A. stephenis hand-to-cage repellent testing: Duration of recording (Min.),A. stephenis hand-to-cage repellent testing: Concentration (µg/cm2),A. stephenis hand-to-cage repellent testing: Evaporation time (Min.),A. stephenis hand-to-cage repellent testing: Compound volume (ml),A. stephenis hand-to-cage repellent testing: Surface (cm2),A. stephenis hand-to-cage repellent testing: Material,A. stephenis hand-to-cage repellent testing: Volunteer,A. stephenis hand-to-cage repellent testing: Volunteer alias,A. stephenis hand-to-cage repellent testing: Test Date,A. stephenis hand-to-cage repellent testing: Repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%) Standard Deviation (±),A. stephenis hand-to-cage repellent testing: Average repellency (%) Count,A. stephenis hand-to-cage repellent testing: Concentration percentage (%)
TQ-0044095,Cc1ccc(C(=O)c2ccccc2)cc1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Nov,83.3,65.8,24.5,5,
TQ-0044095,Cc1ccc(C(=O)c2ccccc2)cc1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Nov,85.7,65.8,24.5,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,83.3,55.1,25.6,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,33.3,55.1,25.6,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,82.6,55.1,25.6,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,35,55.1,25.6,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,41.2,55.1,25.6,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,50,72.4,29,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,33.3,72.4,29,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,88.2,72.4,29,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,100,72.4,29,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,90.5,72.4,29,5,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,18.2,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,46.2,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,22-Dec,93.8,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,94.4,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,88.9,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,86.7,71.3,31.7,6,
TQ-0044066,COC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Tested on Culex",23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,90.9,72.7,34.1,3,
TQ-0044066,COC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Tested on Culex",23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,93.8,72.7,34.1,3,
TQ-0044066,COC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Tested on Culex",23JKON051,130,,5,1,37.5,Cheese cloth,Jessica,D,21-7-2023,33.3,72.7,34.1,3,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Nov,87.5,47,35.7,6,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Nov,81.8,47,35.7,6,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,-10,47,35.7,6,
