 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11),Mean(12),Mean(13),Mean(14),Mean(15),Mean(16)
43,1656.754,1099.884,1239.698,1348.864,1358.086,793.569,427.044,723.029,617.400,1007.148,1117.114,743.002,516.984,803.203,801.423,2128.147
44,1764.428,1092.210,1247.617,1338.332,1352.395,843.297,482.797,722.858,675.625,1073.289,1264.346,659.402,520.158,796.090,911.655,2039.238
45,1708.144,1071.964,1257.799,1287.250,1332.783,828.548,444.306,749.994,685.056,1063.685,1159.062,824.555,519.695,805.729,879.949,1953.516
46,1706.235,1101.769,1218.487,1376.270,1394.148,781.381,426.776,751.888,713.727,1039.705,1138.041,686.949,487.523,743.410,902.650,1971.366
47,1623.089,1083.730,1238.580,1283.398,1335.751,757.021,439.329,771.787,711.563,998.062,1085.895,684.526,502.691,731.899,834.989,2114.570
48,1724.996,1090.038,1184.952,1319.208,1311.546,746.827,458.887,702.008,710.294,985.239,1120.929,706.165,524.666,879.582,853.346,2024.878
49,1608.657,1090.469,1254.490,1364.091,1435.114,795.385,466.121,724.800,716.152,1029.728,1145.894,669.071,557.189,760.462,905.993,1941.089
50,1702.328,1036.493,1202.855,1334.180,1361.312,809.643,438.444,761.558,663.507,1195.622,1201.187,700.429,518.375,826.638,919.522,1848.878
51,1638.053,1100.500,1219.793,1358.993,1384.819,900.623,424.330,750.380,725.229,1073.927,1208.722,641.350,483.966,809.797,853.426,2029.542
52,1624.150,1072.389,1246.149,1394.154,1325.778,770.209,437.183,729.218,692.432,1032.158,1162.816,705.096,517.283,826.954,915.806,1937.714
