 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11),Mean(12),Mean(13),Mean(14),Mean(15),Mean(16)
25,1382.488,856.651,567.849,992.033,1832.620,322.478,374.889,520.370,645.935,682.708,374.243,206.505,277.539,262.070,325.324,360.191
26,1332.579,920.543,529.621,1075.244,1814.413,372.029,309.119,439.683,609.336,599.198,322.398,201.390,245.962,244.871,326.503,380.724
27,1358.377,824.651,518.543,1018.028,1799.797,301.357,392.595,492.317,546.981,600.092,356.222,212.429,242.355,307.148,330.280,366.338
28,1381.924,873.053,558.683,1007.483,1745.811,361.367,335.083,433.152,595.897,577.328,401.885,234.493,233.486,253.357,333.637,406.841
29,1302.852,847.024,527.458,1048.720,1695.163,319.656,317.337,476.803,588.760,577.507,340.276,250.155,217.811,246.550,333.106,396.722
30,1270.070,783.172,537.109,992.688,1828.803,298.473,337.917,473.566,556.076,636.331,361.636,232.723,269.198,283.771,313.747,379.191
31,1326.875,807.725,580.068,969.351,1918.969,302.200,347.100,480.289,569.737,666.466,421.543,213.189,250.288,279.831,358.203,313.165
32,1341.147,794.404,555.824,1012.017,1740.819,311.522,325.207,458.948,626.731,692.050,384.352,208.073,256.436,261.640,310.291,338.316
33,1258.529,759.051,546.840,973.535,1766.803,343.583,361.307,493.634,648.208,622.550,400.868,216.022,231.423,293.353,331.745,304.844
34,1357.599,732.148,491.847,1006.910,1766.126,368.851,312.651,438.634,574.362,637.677,397.996,217.591,238.586,273.125,306.225,346.821
35,1302.865,748.392,540.343,990.174,1811.933,313.296,327.966,482.860,599.329,598.316,364.065,229.627,271.058,284.782,334.483,389.554
36,1289.469,757.864,587.083,955.658,1722.154,328.995,318.187,440.028,593.762,624.099,366.883,201.012,264.256,276.059,293.927,370.717
37,1314.429,721.667,527.205,877.778,1761.476,368.444,329.270,424.812,599.342,710.287,371.576,224.061,317.477,287.160,313.764,397.686
38,1310.790,763.350,550.734,882.219,1752.923,317.818,330.520,452.160,643.784,603.916,379.796,242.645,261.309,292.745,321.073,340.443
39,1256.274,706.256,551.139,938.020,1735.874,296.363,326.714,467.078,592.497,587.105,399.305,203.833,301.870,250.449,333.005,378.710
40,1329.559,692.587,505.969,963.507,1767.303,325.363,310.540,434.693,553.952,612.257,360.810,208.488,288.927,227.281,345.188,365.788
41,1304.165,698.946,511.257,937.058,1777.344,278.049,330.396,414.515,581.238,549.371,416.547,257.353,244.031,241.332,280.843,298.235
42,1311.684,670.279,502.520,844.078,1822.445,299.980,331.726,439.072,613.107,599.624,415.194,218.495,317.105,236.295,268.375,350.082
43,1254.847,707.698,558.118,847.543,1792.008,335.453,311.251,453.316,592.810,615.436,405.199,208.211,274.273,275.491,339.775,405.788
44,1241.454,646.212,534.925,825.097,1726.140,339.643,316.649,433.196,574.422,566.701,376.771,258.478,279.214,266.916,322.164,345.468
45,1207.085,696.473,480.568,786.246,1829.098,293.921,305.469,456.285,600.422,577.950,386.103,209.456,267.031,284.612,302.475,388.188
46,1305.409,680.996,516.305,795.499,1848.396,283.154,304.032,432.789,551.501,615.438,357.475,211.341,289.425,252.817,324.588,369.526
47,1278.690,670.515,535.588,797.023,1789.376,309.149,310.327,470.768,508.318,548.633,409.259,231.630,303.386,248.318,309.613,373.574
48,1167.145,667.788,489.553,760.601,1856.539,274.959,308.014,477.561,484.944,580.520,424.816,240.958,287.164,288.747,277.662,293.951
49,1235.835,641.840,526.522,800.348,1726.719,287.165,272.422,389.069,530.742,572.973,435.678,217.316,320.898,245.554,275.272,382.897
50,1205.496,677.363,540.674,813.862,1706.307,318.602,328.989,531.785,598.175,645.278,396.814,270.807,260.364,308.505,299.017,343.269
51,1131.767,613.359,535.104,784.597,1814.506,312.270,332.139,445.712,556.752,546.779,408.724,214.172,271.608,249.755,290.407,344.664
52,1180.893,649.091,523.770,725.130,1641.435,333.144,310.316,464.317,619.455,698.050,371.718,228.794,286.938,287.797,318.664,401.955
