 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11),Mean(12),Mean(13),Mean(14),Mean(15),Mean(16)
1,983.397,576.580,527.847,700.161,1527.392,416.177,381.771,555.549,601.804,618.433,395.621,180.083,210.800,221.284,273.503,413.269
2,992.915,603.355,525.329,725.372,1701.992,373.115,372.466,538.703,649.628,702.968,373.451,202.666,244.298,240.013,328.351,380.504
3,1038.633,605.301,557.660,684.878,1702.563,442.260,366.994,560.275,657.570,645.220,367.347,223.853,219.438,229.471,280.792,417.599
4,994.933,588.110,560.014,747.345,1651.732,413.034,341.943,563.191,655.471,650.039,381.286,200.708,202.759,243.246,318.796,354.468
5,1066.201,579.214,537.912,679.175,1712.031,423.573,357.755,609.212,650.336,651.803,366.723,185.530,227.066,224.852,275.454,422.817
6,1097.582,576.217,537.826,644.519,1648.161,379.802,361.221,575.505,622.379,618.480,365.932,159.429,230.122,210.918,299.387,431.738
7,1103.083,609.817,539.497,752.414,1709.654,354.689,367.231,550.246,591.594,651.221,397.135,190.100,224.831,239.622,325.061,387.418
8,1148.081,625.934,508.643,704.345,1744.852,418.638,387.532,586.236,686.191,662.890,423.406,185.949,208.702,267.435,282.779,392.037
9,1130.608,637.096,539.064,719.832,1566.000,352.563,387.791,581.222,696.058,641.532,386.218,201.215,188.475,252.558,294.904,341.852
10,1203.905,569.174,597.151,726.825,1770.061,397.095,417.764,584.447,621.288,639.152,433.564,233.755,241.841,248.132,325.270,381.782
11,1013.026,624.053,527.798,725.467,1690.579,439.283,340.051,482.388,626.643,651.374,342.452,181.679,236.311,236.837,322.716,362.387
12,1126.346,634.625,509.377,808.332,1676.474,416.421,356.120,547.516,714.641,634.620,405.623,180.897,219.542,252.115,339.998,391.008
13,1031.977,605.805,549.318,764.442,1750.766,371.383,384.958,507.764,670.070,642.809,382.673,234.552,228.722,265.274,284.848,389.252
14,1064.525,640.999,519.089,761.596,1777.575,377.208,361.417,609.232,639.598,587.780,382.163,217.181,215.325,249.947,308.606,365.945
15,1064.929,578.430,525.408,746.341,1726.878,407.277,405.525,509.851,622.806,582.920,360.792,219.431,204.292,248.755,281.150,343.173
16,1113.738,600.700,525.211,684.194,1692.841,378.763,420.714,560.726,692.061,613.577,391.284,217.549,241.428,261.034,269.005,339.453
17,1044.752,658.323,500.867,788.065,1685.636,371.336,336.601,535.836,624.110,554.994,345.573,192.681,208.433,267.972,320.983,381.989
18,1071.418,629.652,513.418,756.191,1710.923,324.370,348.683,524.588,638.081,602.799,417.766,218.728,248.328,262.567,344.250,367.765
19,1079.448,602.693,496.830,757.652,1649.346,379.833,397.741,487.654,623.895,627.373,392.373,222.956,208.702,259.925,286.297,418.360
20,1102.817,600.390,549.277,750.562,1699.031,340.175,343.720,493.332,675.004,655.940,386.711,184.341,267.216,289.920,302.247,344.586
21,1120.810,615.895,512.421,769.275,1651.894,342.926,336.115,473.306,582.829,553.017,356.419,218.478,223.150,289.523,339.995,388.682
22,1237.703,725.956,513.338,884.465,1605.896,321.684,299.098,533.865,579.238,631.050,291.115,217.709,263.119,297.965,297.402,368.546
23,1224.710,786.893,526.218,888.435,1853.148,310.378,320.627,452.664,569.869,595.198,332.540,209.971,264.775,305.632,344.811,345.215
24,1392.464,886.409,441.711,1104.159,1813.189,323.833,371.611,478.212,613.861,677.123,397.060,206.963,214.189,284.534,327.025,356.830
