 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11),Mean(12),Mean(13),Mean(14),Mean(15),Mean(16)
1,1169.891,943.105,1357.386,1198.595,1113.974,752.416,585.072,535.783,479.323,823.050,742.136,602.343,751.380,490.847,678.892,1008.377
2,1204.594,961.367,1361.893,1166.158,1228.437,745.247,607.715,554.720,510.791,805.513,807.437,598.902,795.882,500.114,611.413,1014.353
3,1244.122,982.354,1398.094,1216.997,1227.393,739.405,588.004,568.141,517.987,794.664,804.991,668.438,783.299,522.846,659.606,1030.627
4,1165.777,961.706,1323.200,1202.620,1222.335,702.409,599.241,503.734,529.669,794.445,724.419,651.105,774.607,562.391,687.856,1008.024
5,1178.233,957.725,1333.695,1195.753,1229.346,768.384,545.738,530.526,500.753,896.203,711.867,666.992,738.577,530.193,704.822,985.708
6,1302.158,939.020,1340.044,1178.216,1273.976,692.481,627.766,561.892,467.140,806.060,769.909,612.258,790.629,592.700,706.704,958.708
7,1205.982,907.805,1284.446,1135.493,1236.586,675.361,623.124,538.524,467.718,854.124,694.793,631.858,783.001,546.801,686.857,1018.271
8,1206.774,932.513,1373.815,1179.568,1196.416,693.918,604.786,544.501,495.922,881.230,678.048,611.650,724.317,512.953,682.498,972.465
9,1254.026,942.957,1360.014,1205.196,1219.031,700.533,547.864,617.908,468.042,791.534,720.889,634.414,810.897,548.457,633.271,1043.110
10,1266.731,1007.492,1359.253,1156.777,1203.806,692.136,546.858,494.344,468.760,833.851,730.644,625.247,762.353,492.384,704.637,1034.613
11,1178.195,962.978,1373.784,1144.490,1167.401,721.960,539.462,530.753,460.975,751.127,699.012,620.324,746.736,530.397,675.263,1031.947
12,1190.291,927.828,1324.058,1201.485,1187.834,702.219,588.908,540.104,525.465,853.965,729.783,621.003,791.386,517.585,728.036,1041.417
13,1218.060,935.719,1284.215,1159.768,1206.911,678.188,583.495,501.411,474.282,798.522,678.632,654.112,799.764,575.519,720.644,1055.457
14,1196.830,895.447,1308.567,1151.929,1186.912,682.524,557.677,543.055,477.841,808.655,653.662,600.066,740.873,552.668,700.139,980.180
15,1170.852,960.978,1286.306,1140.279,1234.705,794.084,555.989,553.859,468.574,777.044,689.718,632.030,740.857,524.430,700.372,998.390
16,1159.616,943.979,1353.719,1154.110,1125.671,718.633,589.296,628.389,497.623,790.831,670.252,640.019,780.995,575.455,742.868,1020.801
