 ,Mean(28),Mean(29),Mean(30),Mean(31),Mean(32),Mean(33),Mean(34),Mean(35),Mean(36),Mean(37),Mean(38),Mean(39),Mean(40),Mean(41),Mean(42),Mean(43),Mean(44),Mean(45),Mean(46),Mean(47),Mean(48),Mean(49),Mean(50)
1,537.267,312.542,1004.417,872.475,598.598,234.155,536.884,224.021,1081.898,1423.487,486.774,1165.694,258.030,877.749,526.286,760.593,712.618,1180.782,983.684,1409.885,1125.000,1318.366,1194.590
2,507.837,372.326,1021.755,893.595,547.948,224.249,494.301,244.180,1133.987,1399.644,596.614,1141.953,247.182,910.228,490.683,759.909,667.329,1117.426,1060.222,1419.909,1173.410,1266.474,1254.802
3,509.514,344.415,1047.026,903.442,583.901,239.551,439.286,230.114,1126.053,1462.048,570.432,1160.784,247.484,901.741,510.043,694.322,698.135,1175.332,1006.975,1372.212,1128.801,1248.309,1213.578
4,502.729,383.775,1051.575,901.621,551.123,258.114,438.515,232.231,1163.646,1394.336,586.266,1163.319,258.958,917.146,578.682,755.761,713.518,1025.114,1077.250,1448.693,1194.873,1312.668,1200.069
5,528.142,364.233,1056.248,888.982,532.095,250.795,418.834,282.766,1178.843,1490.388,591.246,1098.769,275.015,916.811,459.846,766.639,667.867,1074.665,1034.688,1374.077,1152.577,1301.810,1208.325
6,517.081,352.551,1109.041,942.177,528.383,220.997,413.387,217.316,1068.875,1435.669,545.156,1187.206,298.307,883.987,467.689,765.812,658.729,1136.191,945.577,1426.638,1098.260,1272.442,1232.795
7,461.485,333.299,1060.186,901.834,563.213,231.656,394.783,244.148,1171.941,1421.188,550.812,1183.635,247.102,863.371,490.950,698.511,691.779,1105.105,1044.208,1393.838,1139.706,1303.631,1264.184
8,504.510,327.479,1066.736,883.715,529.054,287.322,430.266,255.540,1236.303,1386.984,557.377,993.545,265.862,767.222,430.941,654.253,605.632,1061.596,1027.366,1376.498,1147.082,1209.479,1262.656
9,522.415,311.280,1011.634,904.067,534.550,230.526,422.287,227.028,1136.072,1452.913,621.287,1196.275,286.107,886.424,475.129,689.211,723.269,1152.970,965.322,1358.047,1130.003,1241.354,1219.811
10,508.974,339.472,1048.945,928.021,461.419,217.955,438.174,221.435,1175.593,1466.381,586.644,1223.800,257.168,841.644,495.771,653.670,722.120,1167.608,1013.841,1311.130,1153.317,1262.126,1190.007
11,547.154,332.288,1009.236,862.487,537.148,262.380,363.090,220.177,1223.659,1493.914,596.420,1074.954,249.752,857.119,441.423,670.553,710.672,1233.453,1003.758,1369.868,1132.331,1275.770,1224.666
12,498.666,304.780,1080.752,835.732,518.834,257.059,356.090,271.675,1134.381,1369.686,537.583,1076.398,245.364,885.172,495.113,628.384,685.533,1146.892,961.991,1419.666,1156.345,1273.211,1141.977
13,537.069,285.879,1044.708,897.239,509.002,239.219,342.300,226.077,1126.184,1432.945,595.782,1073.111,266.331,928.937,396.824,632.988,748.826,1165.473,996.128,1351.973,1134.063,1258.625,1188.765
14,508.255,419.081,1055.492,924.905,506.738,230.188,362.378,247.401,1172.225,1314.945,576.445,1215.658,283.250,853.443,408.708,724.317,697.781,1187.993,991.894,1339.983,1113.373,1243.073,1253.079
15,546.400,316.415,1088.727,891.211,510.260,282.103,367.713,249.152,1163.489,1378.873,542.549,1062.021,264.095,908.817,476.749,685.744,684.971,1131.222,1037.719,1311.308,1162.305,1287.641,1278.270
16,536.043,318.538,1090.562,823.629,479.264,251.685,360.875,227.196,1114.735,1415.063,500.758,1137.799,262.991,852.335,437.193,725.484,626.445,1129.156,996.623,1320.729,1138.132,1301.002,1280.276
17,512.185,352.970,1105.323,891.751,501.267,215.156,363.434,254.164,1172.852,1450.605,522.901,1096.232,255.286,927.212,483.309,727.456,635.449,1174.294,928.655,1306.063,1114.620,1247.788,1364.521
18,528.131,300.176,1127.944,925.532,443.660,247.907,330.465,244.865,1181.256,1420.360,542.081,1124.270,254.629,877.336,464.934,713.678,627.587,1107.707,985.589,1288.254,1058.824,1352.708,1234.650
19,514.425,325.265,1057.924,917.594,488.923,232.696,363.601,252.980,1153.640,1432.837,529.246,1065.820,297.848,852.336,424.300,755.512,645.374,1056.702,1004.909,1269.839,1135.182,1295.303,1241.442
20,512.524,341.595,1074.249,850.480,454.893,293.407,311.719,262.414,1117.956,1337.896,455.487,1061.651,227.633,861.432,443.317,720.257,669.086,1113.461,995.892,1284.817,1076.263,1245.603,1225.647
21,562.879,375.788,1047.007,887.240,1044.680,250.244,349.289,258.696,1202.350,1439.820,537.828,1141.704,305.735,886.483,749.919,754.562,659.555,1159.582,988.470,1291.454,1033.136,1286.000,1344.314
22,618.692,396.398,1101.707,1140.470,1030.963,271.713,350.464,237.557,1150.466,1520.305,644.805,1226.015,297.260,1011.608,876.364,923.384,917.066,1244.373,1243.469,1488.124,1214.938,1424.119,1474.919
23,573.083,386.691,1206.708,1218.346,1118.258,270.645,374.688,294.662,1257.636,1472.848,696.889,1353.403,347.550,1104.586,870.533,1025.755,963.410,1326.623,1322.148,1614.998,1285.110,1417.663,1510.562
24,554.091,393.561,1272.532,1232.566,1107.867,228.608,364.936,254.847,1208.610,1607.245,671.580,1368.777,353.182,1261.584,872.657,1005.010,1117.184,1455.065,1358.022,1821.488,1358.405,1455.020,1495.120
25,555.564,354.631,1224.968,1261.189,1096.256,278.414,356.702,298.499,1109.489,1541.259,716.238,1462.563,325.525,1168.840,805.241,1043.312,974.691,1435.155,1352.125,1797.233,1312.483,1436.314,1584.929
26,584.335,398.534,1312.582,1217.810,935.413,294.596,341.580,319.864,1234.136,1593.021,750.669,1447.900,343.001,1226.955,833.850,1022.539,1030.916,1387.457,1350.033,1747.023,1395.617,1388.214,1483.889
27,542.344,326.657,1280.441,1165.160,945.258,276.953,398.629,323.653,1170.415,1623.932,675.448,1457.437,276.877,1135.307,780.124,1014.414,940.084,1357.532,1320.552,1752.087,1297.890,1420.545,1588.959
28,549.560,317.237,1230.314,1203.458,963.533,298.120,387.109,280.776,1156.945,1620.180,688.989,1327.725,330.944,1190.527,732.545,982.844,908.354,1376.834,1398.184,1658.411,1282.159,1417.054,1535.629
29,550.222,344.680,1302.189,1128.879,934.950,292.403,353.473,294.764,1215.710,1532.204,667.171,1376.192,322.741,1142.027,769.492,972.435,949.594,1296.758,1298.359,1684.607,1330.109,1434.640,1529.965
30,523.122,373.936,1262.148,1159.892,926.297,247.435,398.241,301.511,1182.326,1535.354,665.285,1339.324,332.450,1158.867,712.537,966.325,942.098,1312.051,1286.489,1662.099,1278.687,1364.831,1530.627
31,522.790,358.153,1299.377,1193.693,848.017,324.441,383.824,311.093,1113.193,1506.255,576.562,1373.895,308.896,1171.490,655.346,1010.997,749.943,1261.186,1308.234,1679.324,1382.951,1347.189,1567.297
