 ,Mean(28),Mean(29),Mean(30),Mean(31),Mean(32),Mean(33),Mean(34),Mean(35),Mean(36),Mean(37),Mean(38),Mean(39),Mean(40),Mean(41),Mean(42),Mean(43),Mean(44),Mean(45),Mean(46),Mean(47),Mean(48),Mean(49),Mean(50)
31,628.188,450.818,1385.092,751.938,631.720,697.910,466.363,467.906,954.568,1532.826,837.567,1311.722,1024.522,1643.651,479.175,669.356,829.157,1115.986,1144.770,1660.671,1017.722,1170.307,1427.178
32,625.366,478.917,1435.460,714.240,737.923,687.264,521.130,432.402,940.258,1546.755,836.420,1259.250,992.459,1603.941,453.452,714.504,763.359,1143.328,1094.994,1658.776,1032.337,1132.645,1402.210
33,620.266,511.047,1408.592,654.464,725.258,684.424,514.623,441.776,1027.443,1567.745,822.117,1235.182,987.314,1577.187,462.467,681.002,758.680,1106.608,1177.366,1638.425,1094.042,1195.105,1412.933
34,613.435,491.155,1390.670,671.351,735.183,688.309,478.555,460.446,1021.699,1518.959,856.543,1178.056,981.898,1571.648,422.051,685.048,742.566,1122.564,1033.955,1655.144,1030.222,1157.170,1365.647
35,644.141,495.392,1406.905,671.955,713.527,634.505,538.707,429.024,1038.106,1505.720,811.200,1150.488,910.205,1563.329,485.755,683.793,794.692,1159.551,1111.562,1621.453,1018.859,1104.352,1448.159
36,653.357,519.104,1407.407,676.559,601.996,723.545,523.208,507.909,990.055,1489.899,771.201,1175.306,933.090,1526.922,405.273,704.775,768.534,1111.786,1056.467,1651.390,1034.342,1141.542,1432.542
37,663.237,450.862,1327.130,638.781,631.907,706.969,480.005,442.665,1033.411,1499.225,812.729,1193.786,945.149,1576.881,516.708,665.702,793.097,1133.719,1054.355,1713.558,1067.036,1178.776,1424.018
38,624.965,468.987,1344.588,664.848,666.787,704.652,471.196,471.156,1086.047,1498.231,830.052,1135.967,955.447,1571.741,497.809,694.104,766.960,1111.449,1044.694,1657.800,1076.824,1157.687,1435.352
39,669.692,449.383,1383.279,670.091,559.641,709.749,472.338,458.432,979.021,1510.207,820.016,1328.481,937.707,1582.998,471.855,660.388,781.061,1103.859,1051.361,1629.002,1005.705,1124.841,1368.829
40,648.182,463.555,1365.935,635.542,712.473,663.550,560.930,520.890,1034.186,1524.626,801.354,1147.794,936.850,1525.276,518.021,676.439,815.720,1108.827,1089.161,1655.879,1015.905,1230.313,1390.984
41,654.654,464.284,1384.433,641.921,710.847,719.087,542.694,511.179,962.136,1491.518,853.519,1172.915,894.110,1602.087,434.015,655.467,834.057,1140.038,1022.394,1594.791,1017.868,1133.846,1402.891
42,636.987,537.977,1383.897,623.504,717.385,668.589,532.376,488.610,1007.511,1509.703,805.478,1215.242,886.099,1554.127,447.270,675.035,792.110,1064.468,1066.852,1579.759,998.340,1098.250,1414.260
43,644.718,447.742,1394.291,625.129,721.357,697.618,532.236,516.427,982.129,1484.619,837.736,1156.935,885.235,1557.106,479.507,667.945,710.355,1139.910,1025.787,1595.357,1020.914,1127.515,1381.210
44,625.659,526.216,1374.278,639.371,680.940,638.255,549.158,447.590,1086.564,1527.987,760.855,1167.755,880.032,1436.452,492.950,673.758,844.104,1119.668,1054.386,1524.835,1001.281,1090.935,1351.025
45,645.453,451.854,1365.317,686.266,632.383,739.422,469.846,521.334,1030.138,1502.813,807.628,1157.188,844.367,1488.201,424.523,675.038,768.974,1129.734,996.589,1566.370,1037.115,1078.571,1368.025
46,613.768,449.303,1395.447,682.037,691.813,692.129,457.681,473.300,1030.439,1481.107,797.484,1190.290,835.232,1467.572,501.150,708.305,805.204,1120.959,1004.220,1589.187,930.632,1133.081,1382.739
47,612.413,518.180,1424.226,685.789,710.200,718.124,501.842,440.619,1162.263,1530.609,836.900,1227.228,842.427,1467.922,522.955,678.045,806.400,1096.408,1055.153,1623.705,916.435,1061.574,1338.156
48,572.984,512.847,1394.709,651.342,668.632,766.964,440.242,427.980,1048.358,1505.229,778.372,1093.023,833.862,1437.549,503.631,703.787,797.822,1106.865,978.769,1567.192,960.123,1105.863,1305.239
49,623.950,487.860,1375.325,609.391,679.585,683.326,490.224,448.776,977.167,1500.083,844.633,1203.281,780.143,1479.209,537.785,684.184,762.730,1181.236,1003.037,1577.027,1031.836,1080.153,1378.367
50,640.365,467.076,1363.032,679.154,690.611,661.808,557.611,491.039,1025.644,1532.013,784.431,1228.889,860.392,1449.918,489.245,658.824,774.533,1069.339,985.928,1543.977,1009.729,1100.659,1374.219
51,639.636,456.661,1411.166,656.292,701.385,691.356,557.708,484.527,1038.881,1512.873,803.081,1205.365,836.170,1398.910,458.496,611.259,700.811,1056.243,1013.694,1628.379,993.765,1068.983,1343.770
52,634.970,481.576,1391.364,617.675,665.869,642.012,551.383,473.702,988.030,1479.698,844.928,1128.039,803.415,1486.629,436.879,613.134,815.835,1171.308,973.723,1602.646,914.414,1010.509,1329.769
