 ,Mean(28),Mean(29),Mean(30),Mean(31),Mean(32),Mean(33),Mean(34),Mean(35),Mean(36),Mean(37),Mean(38),Mean(39),Mean(40),Mean(41),Mean(42),Mean(43),Mean(44),Mean(45),Mean(46),Mean(47),Mean(48),Mean(49),Mean(50)
1,430.900,449.844,1272.776,703.449,884.529,702.664,596.035,418.998,745.671,1003.598,702.051,676.716,512.347,329.116,528.505,1010.238,822.355,1074.044,1229.667,1481.077,1140.570,1116.779,802.898
2,426.579,487.188,1247.703,753.426,880.815,792.362,624.725,431.567,789.806,1122.130,605.479,599.066,480.598,321.270,571.685,1098.862,910.037,1008.729,1372.460,1442.725,1218.497,1137.589,762.576
3,447.726,382.698,1211.664,679.638,927.521,644.490,570.171,442.446,772.274,950.678,704.730,662.912,519.598,294.964,537.197,1068.864,840.722,1117.647,1274.994,1369.283,1119.724,1093.929,758.239
4,426.691,413.045,1203.860,690.705,911.703,685.191,589.542,484.081,736.339,1045.210,771.069,629.482,527.242,328.887,573.820,1084.201,869.112,1077.045,1364.391,1388.852,1143.678,1180.240,817.396
5,425.637,465.085,1211.169,771.822,940.012,756.505,643.066,424.143,697.159,1006.147,671.477,642.755,518.405,352.101,664.171,1051.065,896.818,1036.648,1403.810,1387.503,1144.797,1126.109,725.140
6,431.058,413.432,1196.914,699.739,880.903,690.399,657.977,422.520,792.816,1013.274,673.859,632.476,507.683,324.738,557.919,1082.474,852.293,1029.987,1347.296,1377.141,1158.882,1136.461,773.222
7,420.551,436.279,1268.504,754.650,906.139,670.540,642.068,424.112,744.240,966.563,640.680,607.617,468.820,309.992,554.498,1053.146,871.409,1047.536,1315.760,1395.459,1148.539,1125.803,749.354
8,423.488,417.045,1247.279,632.856,899.586,675.755,673.972,386.873,651.484,1033.927,763.212,586.173,490.566,339.252,526.498,1037.292,855.919,1000.665,1288.092,1354.509,1159.813,1109.359,767.224
9,430.963,448.198,1219.721,772.630,909.765,671.961,612.818,402.508,732.343,998.570,629.606,664.247,522.852,312.100,544.071,1119.160,876.751,1058.768,1349.431,1451.517,1126.159,1105.002,790.659
10,404.851,403.560,1274.201,714.013,877.665,672.885,553.309,438.909,762.106,999.503,624.783,639.225,515.025,306.650,529.103,1072.402,880.286,1033.490,1353.106,1334.213,1112.174,1149.781,826.759
11,421.879,435.085,1180.736,688.160,864.920,690.230,573.303,425.658,770.804,966.813,604.675,637.351,490.242,304.488,596.962,1044.498,881.020,1033.334,1302.371,1457.447,1142.638,1140.924,793.161
12,414.848,423.445,1243.998,729.398,868.562,624.060,615.133,415.233,783.244,1051.140,642.325,625.514,469.145,286.430,556.281,1029.146,860.091,1038.161,1364.646,1433.434,1137.052,1124.642,781.155
13,459.180,450.583,1243.938,765.874,835.003,656.882,608.651,387.402,780.866,1034.763,650.728,628.524,502.536,324.316,531.896,1010.932,838.044,977.884,1298.509,1372.245,1159.272,1103.610,790.411
14,410.021,404.892,1175.202,623.749,878.048,610.918,567.499,407.827,763.399,1062.475,755.753,602.980,416.681,269.727,492.167,1025.246,881.457,1022.993,1272.839,1357.175,1085.375,1119.488,756.331
15,399.877,417.025,1198.142,748.573,822.499,640.327,603.742,373.427,712.698,1009.317,621.684,617.199,541.228,302.044,551.972,1042.080,856.640,965.380,1293.843,1386.525,1117.075,1088.663,728.655
16,427.939,415.673,1120.833,648.754,815.570,633.930,523.332,393.373,773.099,995.660,667.334,642.817,454.455,294.368,528.690,1022.820,852.493,1014.305,1256.249,1381.316,1126.440,1089.650,790.564
17,428.615,411.580,1183.780,700.894,854.894,609.832,574.920,403.088,822.325,1001.830,610.671,609.176,371.289,312.404,560.753,992.772,826.015,1005.477,1319.724,1429.059,1106.376,1098.081,719.415
18,405.186,487.746,1118.638,639.790,827.402,618.672,551.838,384.775,817.348,1081.340,678.908,608.073,461.281,310.178,538.147,978.440,855.820,1017.571,1302.160,1342.662,1094.621,1133.258,738.434
19,455.737,379.965,1165.272,657.146,865.457,620.599,510.780,412.603,728.419,976.182,604.341,638.000,462.280,296.871,527.425,1032.736,863.448,930.988,1276.475,1331.148,1102.593,1078.736,806.333
20,549.905,430.739,1179.696,714.217,854.317,614.295,553.567,377.464,752.555,1008.510,621.548,656.062,418.775,317.576,539.038,1013.468,818.490,1007.682,1276.723,1399.833,1058.326,1048.137,741.977
21,659.642,638.734,1250.863,791.158,1001.857,626.095,593.392,416.406,738.419,987.951,600.242,620.362,496.466,308.848,604.947,1022.889,864.883,997.087,1266.916,1376.489,1092.701,1055.413,819.233
22,834.261,778.462,1394.157,889.150,1066.457,629.909,568.643,440.704,807.876,1048.302,672.749,692.165,552.119,369.444,642.233,1020.273,867.952,1024.628,1251.722,1460.806,1167.383,1118.531,807.526
23,858.570,814.090,1429.405,883.843,1084.720,643.343,564.559,400.730,867.781,1064.400,765.346,736.001,578.400,412.363,673.152,1084.504,888.635,1090.409,1349.606,1460.619,1188.669,1203.744,864.568
24,919.470,822.975,1624.932,1002.799,1180.606,616.870,530.842,388.264,846.684,1039.832,673.714,729.536,541.888,444.141,750.722,989.353,831.898,1084.174,1386.318,1417.467,1177.098,1158.295,913.996
25,821.895,847.927,1596.734,971.830,1201.380,609.458,545.740,417.150,891.645,1103.350,797.458,783.203,577.689,392.064,729.091,992.532,952.570,1075.656,1328.844,1429.933,1153.386,1166.564,875.015
26,864.828,727.269,1590.513,963.275,1219.252,639.976,577.125,366.612,931.293,1123.988,655.224,796.411,552.691,436.797,771.114,1010.883,898.112,1061.387,1386.494,1389.700,1167.816,1147.363,921.290
27,777.844,767.520,1606.613,1000.073,1135.215,645.281,554.538,406.831,773.435,1108.023,895.396,774.836,589.591,432.319,662.869,1032.895,897.038,1020.096,1363.765,1430.592,1165.053,1194.820,893.441
28,769.016,771.226,1599.986,1016.625,1160.404,648.657,578.355,415.171,907.717,1124.305,638.555,755.928,586.167,383.167,687.308,1035.741,873.599,1006.088,1409.660,1398.347,1148.650,1090.242,801.858
29,725.586,760.264,1509.193,941.633,1121.675,591.994,573.155,397.371,808.348,1074.638,739.484,737.434,559.027,378.257,715.588,993.704,841.599,1014.266,1356.784,1420.620,1163.341,1103.930,794.866
30,669.953,686.372,1551.031,936.222,1104.939,618.222,557.896,366.971,856.952,1073.728,682.412,788.222,632.652,410.039,674.598,986.950,871.292,957.090,1363.859,1392.214,1192.429,1098.156,849.112
31,666.839,584.324,1464.538,920.509,1137.963,574.519,555.244,436.984,775.463,981.444,716.470,753.168,618.936,379.263,607.219,1060.550,781.785,1061.966,1256.482,1371.273,1151.539,1170.799,864.519
32,662.612,632.756,1505.003,909.888,1028.803,645.968,572.016,392.938,787.615,1051.080,682.320,672.177,543.752,373.578,580.669,991.732,831.264,993.468,1312.801,1367.136,1214.071,1140.133,763.822
33,631.245,630.040,1488.316,941.182,1086.428,603.529,538.292,391.024,873.857,1046.250,668.482,651.451,558.367,393.101,661.551,1012.877,823.253,961.366,1360.164,1436.417,1208.630,1138.635,787.665
34,607.926,608.917,1507.171,894.503,1061.842,610.349,559.898,365.793,817.244,1094.208,676.931,684.343,503.367,358.358,600.189,1002.121,870.309,954.852,1349.887,1384.192,1170.661,1151.286,818.246
35,594.626,601.653,1450.632,821.188,1055.499,574.891,484.517,434.301,804.058,1011.340,666.184,718.909,618.517,359.229,607.043,1004.666,797.202,1007.365,1308.105,1369.319,1182.092,1137.610,822.432
36,595.514,580.244,1486.376,867.414,947.846,584.923,512.823,410.780,813.212,943.437,665.995,694.058,528.316,376.735,597.321,1007.971,880.614,1031.183,1346.075,1355.991,1204.772,1154.063,830.477
37,572.141,579.611,1382.096,730.556,1000.473,544.129,534.361,371.744,829.827,1003.856,706.164,761.290,536.944,361.552,612.008,947.024,823.474,1039.984,1311.972,1391.916,1110.274,1113.539,825.479
38,560.771,539.819,1423.067,895.936,987.744,601.572,594.430,386.306,841.168,1050.745,665.532,670.317,508.819,372.746,568.545,953.754,916.525,1026.994,1318.255,1400.211,1126.992,1120.920,766.479
39,538.540,568.178,1436.482,842.418,993.918,603.933,530.097,378.811,785.060,1080.860,728.113,697.689,505.705,306.242,587.631,1014.269,802.721,1027.128,1272.607,1437.266,1193.898,1093.535,784.680
40,534.755,578.995,1388.420,761.964,935.433,641.154,533.566,381.420,731.244,981.648,728.788,678.661,561.595,333.556,604.710,1017.503,848.951,986.668,1256.204,1397.209,1099.624,1088.666,792.731
41,524.882,535.739,1383.172,839.205,957.413,604.943,499.313,428.847,750.912,1004.508,705.311,699.998,575.683,349.097,542.215,953.134,818.065,1025.395,1281.103,1382.606,1121.404,1136.433,791.383
42,516.026,543.839,1321.987,803.535,910.560,638.672,504.158,373.586,785.604,1038.049,697.919,680.257,547.598,339.270,560.469,967.501,831.777,963.393,1366.576,1350.569,1133.588,1132.840,841.581
43,487.481,571.090,1338.128,810.577,899.798,585.306,539.989,393.339,753.426,1055.265,731.488,724.143,540.772,364.465,625.810,1012.828,820.745,977.037,1249.177,1448.681,1109.496,1093.257,759.487
44,501.227,550.211,1399.651,801.047,969.826,625.654,546.058,413.417,754.613,1064.485,663.753,622.485,569.986,364.918,602.725,979.306,866.018,959.305,1339.177,1381.164,1080.960,1108.577,823.826
45,511.387,528.422,1378.912,835.267,940.481,608.536,535.016,397.849,760.652,1043.957,674.571,636.295,590.689,383.804,593.685,1022.616,854.339,920.204,1349.359,1365.581,1101.192,1105.184,759.724
46,507.284,469.030,1358.126,776.617,958.147,642.307,584.085,406.694,816.910,1059.608,650.217,651.666,476.131,385.553,620.856,956.269,809.409,992.745,1311.862,1322.089,1037.933,1085.811,795.716
47,436.489,518.905,1345.122,706.320,1004.961,649.359,567.651,401.231,754.297,1048.071,682.111,639.915,437.530,330.450,579.406,1002.598,871.748,972.161,1262.057,1434.322,1083.989,1096.567,769.191
48,507.268,513.706,1376.022,773.342,966.005,612.548,567.510,391.155,850.645,1145.951,688.786,631.472,472.527,333.910,571.058,1014.538,817.156,987.006,1238.559,1460.775,1055.364,1070.970,783.487
49,476.677,496.568,1332.222,754.862,949.365,562.189,552.282,434.752,795.560,1065.854,677.339,661.875,524.727,317.974,589.136,1009.104,851.341,991.130,1282.477,1379.584,1087.694,1144.127,813.335
50,496.430,457.839,1342.627,786.227,964.977,587.362,576.321,381.922,778.484,998.095,643.263,632.166,531.986,315.178,619.442,1006.087,819.625,1019.441,1313.589,1403.225,1107.446,1093.798,752.769
51,443.089,427.575,1314.218,803.592,918.750,606.723,561.251,446.798,752.654,955.050,616.615,646.556,639.572,334.620,547.793,1033.463,802.295,1025.159,1323.537,1446.403,1126.824,1113.977,783.634
52,461.688,399.716,1327.381,818.723,908.134,583.950,623.499,421.788,820.207,1069.109,625.682,653.300,556.619,361.406,554.990,1003.430,808.230,992.667,1336.623,1417.169,1160.517,1118.881,795.801
