 ,Mean(28),Mean(29),Mean(30),Mean(31),Mean(32),Mean(33),Mean(34),Mean(35),Mean(36),Mean(37),Mean(38),Mean(39),Mean(40),Mean(41),Mean(42),Mean(43),Mean(44),Mean(45),Mean(46),Mean(47),Mean(48),Mean(49),Mean(50)
1,558.272,243.823,1088.149,615.151,446.323,233.573,215.624,88.802,753.930,643.504,408.992,592.059,107.682,300.390,276.617,329.257,374.243,422.249,437.180,903.123,762.197,562.710,430.147
2,556.962,204.341,1132.169,661.449,439.691,271.568,242.836,107.925,715.934,676.052,398.783,490.563,156.783,350.846,263.067,329.302,400.411,387.681,509.562,940.226,725.153,567.605,452.730
3,515.085,256.067,1147.870,615.020,459.514,265.664,188.923,65.388,760.142,654.722,436.861,567.065,126.885,385.391,278.538,360.314,348.083,403.719,441.933,876.284,756.723,602.409,475.323
4,536.604,234.176,1087.874,590.906,459.294,245.795,206.077,109.361,770.132,655.621,405.927,587.411,143.660,331.607,252.998,322.345,368.638,373.083,458.683,850.118,677.314,567.856,457.647
5,517.613,239.884,1115.144,632.171,435.306,243.164,219.155,100.884,755.876,661.395,410.026,498.250,128.611,308.276,246.308,362.127,324.592,382.332,480.065,892.906,704.562,569.316,427.613
6,545.338,253.339,1177.840,629.243,452.125,263.659,198.221,65.014,789.423,634.022,409.883,494.929,122.700,334.867,264.979,338.132,346.113,399.425,449.276,925.562,736.890,577.778,510.432
7,534.045,262.503,1143.532,670.072,431.315,245.920,217.120,64.063,748.976,653.820,432.710,520.195,133.574,349.907,253.671,361.497,369.031,420.352,463.935,941.621,726.924,600.554,477.781
8,501.885,257.708,1196.822,691.249,451.209,235.930,202.188,63.573,833.832,634.702,403.795,521.982,125.341,330.403,209.742,356.088,364.137,470.553,501.933,913.785,762.479,588.275,465.615
9,527.111,265.760,1135.516,661.640,485.526,226.643,196.975,84.243,759.956,638.225,419.527,528.846,108.814,333.426,247.140,311.887,328.169,384.254,523.638,972.392,724.655,609.195,489.517
10,535.048,248.491,1104.805,562.985,418.969,255.350,231.440,78.653,730.566,647.924,395.197,485.146,129.325,292.048,232.470,323.765,366.411,378.847,471.775,866.891,744.418,633.885,461.769
11,557.577,233.927,1150.596,616.690,450.820,240.227,220.118,60.198,770.035,639.597,396.685,499.006,133.765,283.593,227.480,403.584,351.924,443.950,520.256,975.872,754.077,635.511,470.500
12,574.064,237.452,1172.824,644.862,424.306,243.232,224.864,89.465,824.627,643.455,446.585,546.677,127.450,330.521,259.683,375.458,339.467,419.153,482.229,926.444,736.722,611.843,464.972
13,524.258,267.460,1162.054,625.294,447.911,275.036,219.779,81.547,767.531,656.879,420.601,491.919,122.672,302.724,270.799,280.074,353.108,442.158,483.476,943.374,749.415,592.394,465.329
14,496.733,228.079,1155.670,667.721,433.814,281.631,193.287,75.289,833.139,657.605,440.682,505.159,122.356,321.455,272.238,346.017,344.369,394.387,533.920,979.470,797.676,593.343,488.924
15,530.307,245.961,1183.892,662.913,419.708,287.345,202.100,68.660,748.977,698.586,422.654,544.486,135.902,313.238,255.909,293.613,353.269,388.299,539.904,949.437,764.679,620.076,456.442
16,523.593,246.340,1123.953,607.940,445.241,271.942,170.440,60.761,811.152,652.597,425.080,536.547,125.859,314.012,228.990,353.338,367.253,454.977,541.759,961.087,793.753,618.871,522.213
