 ,Mean(28),Mean(29),Mean(30),Mean(31),Mean(32),Mean(33),Mean(34),Mean(35),Mean(36),Mean(37),Mean(38),Mean(39),Mean(40),Mean(41),Mean(42),Mean(43),Mean(44),Mean(45),Mean(46),Mean(47),Mean(48),Mean(49),Mean(50)
1,512.021,539.942,1562.738,1087.016,1159.534,886.434,867.526,494.318,782.661,1030.913,857.332,979.061,551.833,454.386,718.907,1333.320,822.789,1081.987,1655.103,1728.823,1183.546,1267.805,1093.148
2,518.696,527.565,1542.190,1089.721,1240.705,860.644,982.688,435.523,780.449,1046.173,775.025,1051.565,559.400,468.494,763.974,1257.590,825.700,1072.817,1655.555,1655.781,1236.345,1271.717,1112.278
3,490.124,560.776,1562.247,1090.703,1195.279,847.528,900.207,486.389,715.175,1089.208,757.346,1009.745,533.984,496.686,738.093,1346.242,860.540,1050.544,1651.442,1705.058,1276.953,1333.290,1184.345
4,520.729,568.653,1644.180,1078.771,1154.777,858.082,911.672,451.479,726.696,1124.354,818.758,1015.631,557.333,466.195,791.472,1294.869,815.469,1065.779,1706.352,1712.392,1240.121,1330.809,1111.593
5,496.425,524.241,1514.757,1087.698,1215.950,817.912,959.456,451.630,776.454,1069.289,763.491,925.739,611.633,520.787,739.296,1276.582,798.427,1089.441,1647.559,1668.420,1290.843,1285.992,1145.150
6,539.445,598.590,1494.326,1088.985,1259.999,807.334,907.398,471.901,835.482,1165.650,840.353,997.933,610.697,503.768,786.349,1290.109,844.824,1144.222,1718.623,1766.508,1259.564,1284.850,1114.987
7,500.280,555.568,1548.498,1109.537,1301.749,786.041,900.106,496.917,752.857,1084.411,828.025,976.278,646.791,486.295,812.646,1328.112,797.132,1092.189,1673.855,1718.958,1217.528,1292.903,1155.941
8,481.731,587.472,1516.423,1061.944,1292.157,774.348,954.485,522.472,718.362,1069.386,776.650,960.273,618.361,504.604,758.896,1315.581,815.559,1082.407,1711.163,1767.445,1228.369,1320.790,1202.011
9,494.784,606.058,1584.804,1090.955,1259.843,761.455,879.857,464.963,739.700,1124.523,816.795,961.222,572.319,517.056,725.745,1293.207,865.585,1122.676,1620.576,1752.284,1248.339,1250.285,1113.805
10,492.409,554.319,1539.172,989.068,1250.105,830.104,929.378,446.536,809.857,1129.822,757.553,937.877,641.083,534.975,755.578,1297.960,775.383,1061.774,1676.099,1732.433,1188.834,1286.066,1150.114
11,484.532,601.108,1525.534,1062.415,1288.490,831.085,982.246,467.026,749.366,1108.423,756.419,953.859,598.737,521.640,753.012,1297.309,842.034,1072.008,1709.891,1724.792,1221.014,1311.890,1154.782
12,521.730,626.884,1520.366,1020.390,1257.679,757.110,867.830,476.844,738.237,1078.711,726.401,1019.764,576.938,486.851,768.826,1270.664,843.271,1098.297,1709.956,1728.350,1238.468,1324.998,1139.447
13,538.258,587.158,1543.987,1003.209,1219.483,738.974,868.514,425.554,743.889,1068.310,711.410,972.672,609.494,453.607,730.348,1298.967,828.363,1085.566,1736.302,1708.911,1223.703,1358.892,1115.426
14,488.382,612.608,1484.658,1010.060,1255.345,749.117,907.964,429.448,729.887,1088.000,767.171,1011.349,631.844,498.002,735.695,1310.058,842.695,1098.466,1801.879,1721.380,1199.547,1372.274,1180.239
15,514.342,640.764,1407.963,964.021,1225.819,785.289,934.336,452.573,774.316,1035.556,790.514,1003.585,609.494,493.491,774.202,1276.959,788.795,1122.749,1787.089,1681.073,1229.819,1383.459,1139.273
16,517.605,601.447,1484.940,1027.431,1265.885,737.573,891.328,416.914,722.749,1031.723,770.659,963.341,646.105,496.892,865.185,1271.712,802.635,1085.015,1807.689,1714.848,1255.943,1347.687,1097.307
