 ,Mean(28),Mean(29),Mean(30),Mean(31),Mean(32),Mean(33),Mean(34),Mean(35),Mean(36),Mean(37),Mean(38),Mean(39),Mean(40),Mean(41),Mean(42),Mean(43),Mean(44),Mean(45),Mean(46),Mean(47),Mean(48),Mean(49),Mean(50)
1,558.743,274.299,1084.440,755.393,593.984,450.553,230.525,146.571,740.728,961.036,454.275,548.331,266.893,259.379,296.610,358.606,272.477,619.817,630.765,898.696,896.733,722.721,624.891
2,557.875,258.984,1182.677,811.112,585.701,461.630,267.703,167.448,724.614,918.897,425.963,540.803,270.611,284.671,276.306,406.451,295.483,723.452,725.037,906.082,902.690,704.450,627.138
3,588.580,298.373,1186.666,841.969,578.200,391.334,225.454,148.617,706.999,899.795,464.221,496.705,225.276,291.129,300.106,384.534,358.121,653.221,675.550,952.752,938.221,728.874,593.377
4,577.575,264.304,1092.620,772.767,585.876,408.991,262.405,143.376,674.349,903.440,432.976,520.955,266.195,278.344,268.032,401.811,316.315,566.877,757.753,925.067,875.863,762.091,622.640
5,556.289,257.230,1151.657,844.021,621.229,387.584,248.802,108.745,683.506,913.868,454.957,504.014,217.952,290.508,319.407,393.417,323.116,646.676,650.055,899.560,940.717,717.255,572.161
6,549.329,259.158,1168.517,848.404,609.267,425.108,270.054,157.619,659.886,1013.557,430.746,456.094,241.911,278.585,266.900,439.002,266.161,613.492,703.364,922.607,929.906,677.562,607.165
7,588.176,259.188,1146.967,839.721,626.301,384.138,237.242,117.181,663.092,922.914,446.510,509.882,262.964,246.993,285.848,413.142,297.718,679.183,709.086,899.608,930.138,729.339,615.795
8,636.197,260.410,1157.554,793.114,532.764,449.642,232.719,148.911,633.737,807.472,421.241,515.667,257.020,257.348,264.302,364.368,342.994,670.392,719.297,978.222,873.935,628.796,570.908
9,586.554,245.717,1155.385,773.550,567.944,393.824,219.954,142.390,620.906,853.219,426.759,478.427,228.463,238.313,292.169,360.382,304.994,636.518,671.838,919.820,876.240,678.058,642.551
10,602.282,257.860,1136.778,741.874,596.906,387.113,285.072,142.123,738.973,916.895,419.707,510.390,249.472,272.506,314.001,389.005,321.673,632.427,747.914,954.462,910.961,698.614,527.151
11,601.360,256.398,1179.316,786.570,581.313,406.997,263.791,163.520,656.615,960.340,452.711,528.386,250.134,251.402,268.591,406.970,311.283,654.151,739.057,905.446,843.407,701.076,601.478
12,618.939,270.647,1102.604,807.710,576.966,435.329,235.695,144.986,684.393,932.190,470.652,473.112,253.414,304.877,315.096,392.468,294.529,608.774,745.166,981.377,893.461,753.593,569.240
13,554.834,268.349,1161.164,776.981,511.415,371.179,252.602,129.583,634.216,923.096,442.727,542.996,228.135,248.494,286.407,358.012,317.108,591.196,652.039,916.671,899.771,672.577,618.047
14,584.401,263.746,1142.719,784.355,564.175,435.667,262.006,141.335,742.758,927.964,452.490,623.750,257.375,274.029,282.755,360.838,313.756,579.852,678.223,938.782,850.761,700.441,608.873
15,589.817,263.219,1180.977,808.833,554.149,425.032,239.649,137.598,734.396,942.397,471.227,567.675,228.176,276.886,335.126,390.326,294.281,535.950,663.953,901.417,926.284,728.329,632.350
16,612.594,276.787,1019.351,741.394,526.299,440.527,213.031,152.154,714.804,956.483,432.640,496.213,244.048,259.089,267.475,423.395,302.940,582.123,712.556,897.390,867.491,672.240,572.421
17,593.830,266.799,1145.181,749.841,527.370,395.292,209.752,135.325,667.920,921.506,404.975,459.248,268.943,291.635,275.434,375.811,287.644,597.739,680.611,892.286,909.701,730.793,538.010
18,581.336,258.874,1136.974,776.866,525.967,345.102,199.060,131.610,693.432,944.222,417.486,486.130,247.701,275.259,268.443,366.899,338.121,550.510,634.209,942.342,912.505,662.084,529.163
19,573.197,241.312,1088.169,788.688,519.767,336.618,194.733,130.434,656.721,938.471,399.106,486.709,244.482,261.373,294.650,383.688,333.885,637.842,639.063,895.159,909.664,731.166,524.568
20,548.070,232.376,998.458,773.238,519.107,315.027,177.234,139.988,616.842,798.501,372.805,507.323,263.888,275.378,286.690,378.850,314.368,464.234,558.076,944.370,835.833,691.984,588.727
21,565.378,249.175,1036.017,741.580,510.271,281.717,212.869,105.942,747.137,860.740,435.889,466.354,272.599,246.055,280.485,391.091,351.182,517.558,627.045,930.686,875.588,685.840,596.812
22,548.750,275.867,1154.444,906.362,601.225,399.710,210.695,143.289,723.307,1012.541,498.261,569.341,348.057,504.092,286.416,369.297,323.385,663.098,744.405,963.671,914.275,718.812,596.823
23,622.116,251.956,1201.158,1106.327,702.900,348.988,210.205,141.858,779.138,885.708,505.520,555.059,406.981,728.476,283.309,383.721,309.160,712.415,700.720,1029.377,921.800,735.103,633.524
24,613.520,290.055,1183.589,1134.659,711.829,380.324,182.978,124.742,731.193,883.878,530.471,583.850,427.662,746.362,265.242,404.044,362.916,693.661,680.452,1028.945,908.308,687.713,591.675
25,613.349,309.772,1257.380,1311.070,800.804,338.408,174.705,147.116,744.692,936.247,505.712,528.132,518.151,709.016,274.627,418.279,306.725,718.003,727.407,1078.253,969.486,773.339,627.552
26,560.949,247.327,1267.771,1244.457,765.463,345.299,186.475,141.101,745.501,924.445,500.273,571.821,490.133,741.744,279.090,414.453,342.459,578.116,738.716,1112.603,979.121,728.583,594.184
27,593.664,301.254,1171.259,1189.671,765.750,336.497,181.922,158.207,788.799,1033.385,530.663,536.004,489.782,704.670,288.479,401.823,333.154,586.688,703.074,1070.828,890.943,732.177,609.840
28,599.633,308.291,1269.595,1262.186,783.880,414.162,208.220,113.735,757.966,948.567,554.267,550.116,521.203,703.262,307.395,380.485,368.419,722.550,749.452,1080.592,983.961,677.917,604.350
29,610.218,302.352,1230.026,1281.972,771.482,453.078,238.035,171.499,744.721,976.423,521.104,559.260,477.999,651.788,310.765,407.439,316.731,657.480,763.200,1121.688,962.689,756.456,621.140
30,666.162,259.611,1321.345,1340.586,807.167,387.585,222.987,166.995,763.908,948.240,547.541,501.360,468.304,609.074,286.069,413.351,358.683,628.819,781.544,1063.833,930.370,738.623,648.184
31,595.407,269.441,1303.112,1257.088,754.348,348.135,209.944,144.511,726.162,971.750,502.053,500.337,473.463,579.229,306.326,403.233,339.833,635.872,758.785,1069.387,924.130,766.764,597.680
32,634.901,319.080,1248.614,1254.751,750.270,369.693,270.465,142.128,727.024,989.442,510.404,564.085,410.374,509.238,312.497,341.510,329.876,691.736,702.957,1018.998,917.377,777.807,664.622
33,609.823,286.498,1288.734,1169.324,721.792,376.505,213.074,172.812,732.210,938.666,484.811,564.337,420.385,517.050,290.709,405.296,287.105,639.839,649.198,1011.852,931.606,717.389,649.710
34,610.303,281.180,1254.329,1208.850,698.434,342.780,242.677,144.241,818.237,940.160,486.794,560.663,460.295,463.411,312.390,370.285,364.185,714.601,720.791,1003.754,905.902,727.222,619.500
35,662.461,305.044,1340.357,1171.509,765.223,478.869,199.145,151.947,775.242,946.422,532.598,547.461,469.518,504.548,317.963,387.350,311.379,707.214,747.896,1005.195,930.747,738.285,596.936
36,648.324,286.021,1305.142,1179.152,778.500,405.775,234.950,159.084,802.583,875.826,515.048,497.348,463.566,501.881,341.945,377.811,339.945,576.382,676.423,989.567,909.751,738.296,622.241
37,592.684,292.321,1275.381,1187.356,733.665,385.666,223.560,116.345,753.420,887.590,470.381,523.081,491.793,459.090,286.193,405.133,337.471,665.807,761.327,1003.575,905.807,802.471,621.638
38,591.275,294.526,1271.521,1244.692,722.310,419.285,189.883,119.952,774.523,947.933,494.576,502.652,434.245,411.877,289.120,412.279,320.074,691.173,688.828,968.510,1012.121,758.439,659.433
39,631.832,263.438,1289.050,1174.203,790.643,343.741,246.348,155.665,711.810,887.705,522.492,507.335,375.549,431.324,343.186,391.919,359.503,636.058,734.219,975.235,913.905,790.776,611.034
40,635.859,274.110,1253.614,1117.249,713.023,465.703,217.883,163.108,769.648,949.953,509.594,471.120,426.325,383.027,271.673,413.794,334.597,708.382,757.106,1000.614,967.811,737.458,613.978
41,600.160,294.406,1234.200,1154.734,658.145,361.804,215.928,135.487,740.762,880.839,481.390,535.270,379.716,384.382,280.995,373.601,301.052,700.593,680.824,953.153,919.216,728.779,618.999
42,594.017,294.453,1219.101,1154.457,661.253,395.628,203.847,156.957,749.168,935.826,519.736,532.427,406.828,457.817,288.536,346.834,345.703,726.937,687.162,946.640,944.314,760.477,660.046
43,596.986,281.000,1258.118,1119.248,653.327,395.029,231.210,150.516,707.269,926.801,459.220,498.472,388.981,378.874,299.220,365.486,305.820,659.141,733.605,909.414,914.587,734.748,633.097
44,593.099,286.204,1254.821,1134.349,681.107,430.155,200.191,158.639,732.649,845.805,492.750,557.577,395.750,373.962,310.001,385.981,301.862,742.043,774.031,975.050,919.033,691.780,615.602
45,613.476,291.852,1265.995,1089.366,668.922,325.247,182.251,141.945,722.655,1033.253,479.205,491.862,376.439,335.764,292.821,431.456,319.198,616.899,671.980,929.161,930.580,752.083,613.936
46,588.311,264.607,1300.402,1196.242,750.720,351.387,246.673,153.670,750.468,969.945,489.731,503.242,352.245,351.479,344.654,369.554,341.158,493.957,630.366,943.674,919.590,812.887,585.202
47,582.077,293.546,1210.595,1149.831,629.302,420.935,236.153,171.219,667.420,891.395,481.618,500.541,349.071,370.015,296.442,375.880,281.510,788.382,721.875,947.086,899.624,731.767,635.084
48,577.696,281.531,1241.950,970.501,638.846,365.135,226.294,165.805,722.556,822.395,453.117,501.856,357.460,348.086,297.277,375.128,286.972,580.573,739.971,956.820,867.696,743.472,568.921
49,621.788,294.223,1251.073,1139.264,631.249,386.773,151.744,145.894,754.680,925.640,478.653,538.132,360.797,354.717,295.570,393.355,291.945,690.766,734.434,943.078,883.892,780.011,620.571
50,639.696,318.057,1176.801,1053.364,659.941,402.575,189.809,142.017,767.038,1077.600,471.119,524.537,371.789,311.506,312.067,368.579,347.571,699.314,748.264,935.427,908.238,779.312,569.306
51,568.230,281.743,1232.340,1064.026,647.221,366.331,215.621,104.759,707.875,925.433,471.258,524.886,355.021,316.713,293.467,376.828,358.407,613.779,699.072,867.417,926.957,737.560,564.996
52,590.098,283.942,1238.479,955.408,628.756,464.236,206.155,117.957,720.685,910.811,452.983,508.037,307.082,327.095,293.529,355.500,289.865,708.452,710.838,924.063,904.319,727.296,616.990
