 ,Mean(28),Mean(29),Mean(30),Mean(31),Mean(32),Mean(33),Mean(34),Mean(35),Mean(36),Mean(37),Mean(38),Mean(39),Mean(40),Mean(41),Mean(42),Mean(43),Mean(44),Mean(45),Mean(46),Mean(47),Mean(48),Mean(49),Mean(50)
1,555.945,419.533,1085.826,854.924,650.335,612.887,847.057,476.897,590.862,1187.668,700.569,1088.510,442.678,535.041,477.735,1217.323,759.791,1010.260,1418.778,1505.806,1257.781,1196.611,1232.434
2,515.233,433.545,1118.663,830.294,664.295,579.935,774.853,567.179,654.523,1087.269,701.440,1076.718,478.131,509.318,472.642,1141.447,701.541,1045.426,1371.705,1553.252,1335.976,1196.691,1117.216
3,516.109,449.653,1042.808,833.149,668.300,630.460,781.389,491.345,665.205,1087.138,757.850,982.149,480.555,512.046,457.209,1237.651,709.402,1070.331,1473.308,1549.697,1318.545,1219.961,1097.776
4,547.486,433.633,1051.454,828.618,715.198,541.599,778.078,519.728,666.343,1106.674,755.392,1088.928,512.989,503.354,484.685,1202.582,723.523,1096.295,1468.579,1559.248,1347.337,1255.947,1127.860
5,546.126,407.503,1098.636,824.652,708.313,525.289,892.243,485.121,670.323,1091.726,697.500,1076.828,501.152,504.015,493.142,1234.861,689.236,1115.012,1527.317,1577.753,1365.631,1275.388,1180.006
6,516.986,425.201,1086.963,805.285,637.985,534.873,762.429,520.541,651.631,1179.758,677.991,1022.467,464.727,529.642,528.666,1186.500,658.415,1083.077,1434.724,1562.259,1297.657,1247.187,1158.150
7,520.658,465.095,1071.780,810.203,720.629,542.334,771.765,557.249,654.408,1149.701,771.205,1013.834,451.405,515.516,517.204,1208.673,686.277,1019.790,1444.349,1614.141,1306.603,1265.347,1136.640
8,516.829,413.108,1052.019,882.565,659.282,571.821,795.782,518.039,625.530,1151.809,709.062,1035.161,476.592,533.586,467.526,1183.650,682.290,1087.078,1412.146,1661.716,1325.586,1212.734,1168.225
9,529.347,419.992,1074.671,815.928,713.507,520.908,831.578,576.735,639.166,1107.193,796.581,1034.336,526.227,474.998,495.252,1243.383,728.454,1043.730,1500.801,1590.422,1347.482,1250.990,1124.239
10,538.812,417.334,1029.819,843.403,662.956,639.360,861.797,511.624,602.117,1138.204,782.834,1028.702,452.163,551.000,476.821,1167.567,737.597,1084.032,1444.248,1553.983,1313.230,1282.089,1102.254
11,531.689,459.151,1067.050,808.451,676.133,532.156,779.271,515.689,663.578,1139.475,754.242,1009.986,486.617,523.722,474.280,1155.453,728.642,1083.738,1441.572,1543.242,1305.202,1273.986,1105.521
12,524.891,429.977,1007.918,766.668,693.652,509.516,838.644,496.779,689.631,1139.421,706.440,1054.703,475.380,467.488,460.727,1165.176,710.675,1009.701,1419.514,1553.377,1299.539,1263.928,1135.206
13,547.615,423.992,1044.058,866.323,692.485,550.461,791.713,529.888,604.092,1120.411,727.309,1018.997,478.525,502.975,479.149,1188.356,744.463,1030.358,1457.688,1621.102,1273.713,1236.970,1096.301
14,539.361,459.756,1074.781,748.299,701.122,545.629,762.989,515.104,615.846,1173.782,647.488,1016.040,455.663,520.633,482.684,1168.635,765.968,1071.198,1414.190,1552.483,1260.836,1188.914,1124.949
15,504.717,470.317,1069.971,792.273,645.135,569.625,838.519,517.925,614.253,1079.567,730.306,1030.858,484.314,480.357,439.265,1191.597,739.944,1055.741,1441.285,1570.730,1268.772,1176.359,1074.775
16,531.446,423.211,1050.034,816.380,653.839,604.068,887.607,498.896,607.961,1142.247,759.700,1030.720,493.605,501.164,470.720,1151.104,747.161,1068.085,1416.947,1532.977,1254.389,1208.478,1107.763
17,548.802,388.897,1073.265,854.339,599.801,577.109,941.588,566.946,627.604,1219.986,761.141,991.064,460.250,484.445,509.127,1253.035,753.557,1076.589,1422.423,1581.153,1285.791,1193.417,1171.655
18,564.714,392.882,1057.468,823.983,644.252,598.331,912.450,555.344,614.108,1201.346,768.164,1010.133,461.288,516.056,476.609,1254.006,778.831,1091.837,1424.811,1597.609,1339.118,1269.610,1107.674
